CUSIP,Offer date,Company name,Ticker,Founding,PERM,VC dummy,Rollup,Dual,Post-issue shares,Internet
90243410,19760928,TYRONE HYDRAULICS,,1965,77711,0,.,0,.,0
16308210,19761029,CHEFS INTERNATIONAL,CHEF,1975,22956,0,.,0,.,0
23785710,19761109,DATA RESOURCES INC,,1968,28688,1,.,0,.,0
09750010,19761215,BOKUM,,1972,18631,0,.,0,.,0
07379910,19761216,BEAR CREEK,BCRK,1972,17292,0,.,0,.,0
69318010,19761216,PCA INTERNATIONAL,PCAI,1967,60346,1,.,0,.,0
88162110,19770106,TETRA TECH,TT,1966,59803,0,.,0,.,0
35728810,19770118,FREMONT GENERAL,FMT,1961,37699,0,.,0,.,0
68290110,19770125,OMEGA OPTICAL,OMEG,1972,59652,0,.,0,.,0
11483020,19770127,BROUGHAM INDUSTRIES,BRIN,1969,19530,0,.,0,.,0
21217710,19770201,CONTINUOS CURVE LENS,CURV,1960,26957,0,.,0,.,0
79084910,19770209,ST JUDE MEDICAL,STJ,1976,68591,0,.,0,.,0
47736820,19770324,JHIRMACK ENTERPRISES,JMCK,1968,46608,0,.,0,.,0
47614010,19770414,JENN-AIR,JENN,1953,46520,0,.,0,.,0
88159710,19770427,TESDATA SYSTEMS,TDSC,1972,75636,1,.,0,.,0
02514710,19770512,AMERICAN CLIPPER,ACLP,1973,12678,0,.,0,.,0
43933610,19770616,HOP-IN FOOD STORES,HOPN,1966,42490,0,.,0,.,0
37364710,19770621,GEOSOURCE,GSE,1973,60089,0,.,0,.,0
41345910,19770622,HARPER GROUP,HARG,1961,41014,0,.,0,.,0
,19770629,DELOREAN MOTOR CORPORA,,1975,.,.,0,.,-9,0
87261520,19770727,TPC COMMUNICATION,TPCC,1970,74385,0,.,0,.,0
,19770824,UTILITY VERIFICATION,,1977,.,0,.,0,.,0
89531410,19770914,TRI-AMERICAN CORPORATI,,1961,77148,0,.,0,.,0
,19771005,NEW ENGLAND BUSINESS SERVICE,NEBS,1955,57286,1,.,0,.,0
15669610,19771011,CENTURY 21 REAL ESTATE,CNTY,1971,22358,0,.,0,.,0
69562110,19771123,PAIN CONTROL CENTERS,,1976,60901,0,.,0,.,0
46621010,19771214,JLG INDUSTRIES,JLG,1969,46149,0,.,0,.,0
87537010,19771214,TANDEM COMPUTERS,TDM,1974,74617,1,.,0,.,0
87990310,19771221,TELENET,,1977,75300,1,.,0,.,0
86787310,19780411,SUNTEC SYSTMS,SUNT,1977,73569,0,.,0,.,0
31330910,19780412,FEDERAL EXPRESS CORP,FDX,1971,60628,1,.,0,.,0
29216410,19780425,EMPLOYEE BENEFITS,EBIM,1969,32513,0,.,0,.,0
37244710,19780608,GENRAD,GEN,1915,62260,0,.,0,.,0
69911310,19780711,PARADYNE CORP,PDY,1969,60994,1,.,0,.,0
62405410,19780713,MOUNTAIN HIGH,,1972,50607,0,.,0,.,0
16454110,19780802,CHERRY ELECTRICAL PROD,CHER,1953,23115,0,.,0,.,0
23003210,19780802,CULLINANE,CUL,1968,64207,1,.,0,.,0
75225010,19780821,RANDAL DATA SYSTEMS,,1974,65681,0,.,0,.,0
29909610,19780907,EVANS & SUTHERLAND,ESCC,1968,33612,1,.,0,.,0
67090110,19780919,NUCLEAR METALS,NUCM,1954,58799,0,.,0,.,0
19626710,19780920,COLOR TILE,TILE,1953,24716,0,.,0,.,0
67778510,19780921,OIL BASE,OBOI,1946,59169,0,.,0,.,0
33973410,19780928,FLOATING POINT SYSTEM,FLP,1970,63589,1,.,0,.,0
77081010,19781018,ROBINSON NUGENT,RNIC,1955,67300,0,.,0,.,0
80880210,19781019,SCIENTIFIC TIME SHAR,STSC,1969,68305,0,.,0,.,0
98490010,19781026,XIDEX,XIDX,1969,83855,1,.,0,.,0
05349210,19781116,AVANTEK,AVAK,1965,16011,1,.,0,.,0
03458110,19781128,ANECO REINSURANCE,,1978,.,0,.,0,.,0
20426120,19781205,COMPACT VIDEO SYSTEMS,CVSI,1971,25508,1,.,0,.,0
55048410,19781206,L LURIA & SON,LUR,1901,62316,0,.,0,.,0
71658310,19781213,PETROLEUM EQUIP TOOLS,PTCO,1967,62360,0,.,0,.,0
75187410,19781214,RAMTEK,RMTK,1971,65622,1,.,0,.,0
63732510,19781219,NATL RAILWAYS UTILIZ,NRUC,1968,56646,0,.,0,.,0
05275410,19790124,AUTO-TROL TECHNOLOGY,ATTC,1962,15820,1,.,0,.,0
05591810,19790124,BANK OF NEW HAVEN,BNHB,1978,85746,0,.,0,.,0
71956710,19790130,PICCADILLY CAFETERIAS,PICC,1944,62907,0,.,0,.,0
92335310,19790215,VERBATIM,VRB,1969,63394,0,.,0,.,0
11472010,19790306,BROOKWOOD HEALTH SERV.,BWHS,1967,19482,0,.,0,.,0
67786010,19790315,OIL CITY PETROLEUM,OLCP,1978,59177,0,.,0,.,0
95913010,19790328,WESTERN PACIFIC RR,WPRRA,1916,61073,0,.,0,.,0
78648410,19790403,SAFETY-KLEEN,SK,1963,65066,0,.,0,.,0
90921810,19790406,UNIT DRILLING,UDE,1963,63781,0,.,0,.,0
87927210,19790417,TELECO OILFIELD SERV.,TLCO,1972,75062,0,.,0,.,0
91302410,19790424,UNITED TELECOMMUNICATIONS,,1938,39087,1,.,0,.,0
02735210,19790427,AMERICAN MGMT. SYSTEMS,AMSY,1970,13304,1,.,0,.,0
86366710,19790502,STRYKER,STRY,1946,73139,0,.,0,.,0
09061010,19790504,BIOMED. REF. LABS,BMED,1969,18076,0,.,0,.,0
10480210,19790504,BRAE,BRAE,1978,19020,1,.,0,.,0
69331110,19790522,PETX PETROLEUM,PETX,1978,60418,.,.,0,.,0
87150810,19790601,SYMBOL TECHNOLOGIES,SMBL,1973,73940,1,.,0,.,0
04881610,19790607,ATLANTIC RESEARCH,ATRC,1968,15676,1,.,0,.,0
89054110,19790614,TOPAZ,TPZ,1969,63028,1,.,0,.,0
74257810,19790626,PRINTRONIX,PTNX,1974,64195,1,.,0,.,0
65404810,19790627,NICKLOS OIL & GAS,NOGQ,1950,57614,0,.,0,.,0
03672910,19790703,ANTENNAS FOR COMM.,AFCC,1972,14454,0,.,0,.,0
80000810,19790717,"SANDERS, RC TECH.",SNTEQ,1975,68807,.,.,0,.,0
24951810,19790719,DEPENDABLE INSUR. GRP.,DEPG,1972,29480,0,.,0,.,0
03823920,19790806,APPLIED SOLAR ENERGY,SOLR,1978,14737,0,.,0,.,0
93114610,19790807,WALBAR,WBR,1951,61225,0,.,0,.,0
91132810,19790823,UNITED PETROSEARCH,,1978,78888,0,.,0,.,0
76536130,19790828,RICHMOND TANK CAR,,1973,62041,0,.,0,.,0
